Part 135 Certificate Holder Name,Certificate Designator,CFR,FAA Certificate Holding District Office,Registration Number,Serial Number,Aircraft Make/Model/Series,Manufacturer
"Jet Select, LLC",U5QA,135,GL07 - Columbus (CMH),N535XJ,20137,BD-100-1A10,Bombardier
"Jet Select, LLC",U5QA,135,GL07 - Columbus (CMH),N534XJ,20406,BD-100-1A10,Bombardier
"Jet Select, LLC",U5QA,135,GL07 - Columbus (CMH),N533XJ,20045,BD-100-1A10,Bombardier
"Jet Select, LLC",U5QA,135,GL07 - Columbus (CMH),N508XJ,20008,BD-100-1A10,Bombardier
JET SERVICES INC,9JXA,135,SO09 - Alabama & NW Florida (BHM),N200NS,550-0949,CE-550-B,Cessna
JET SERVICES INC,9JXA,135,SO09 - Alabama & NW Florida (BHM),N896CG,550-1055,CE-550-B,Cessna
JET SERVICES INC,9JXA,135,SO09 - Alabama & NW Florida (BHM),N100WT,550-0858,CE-550-B,Cessna
JET SERVICES INC,9JXA,135,SO09 - Alabama & NW Florida (BHM),N893MC,510-0120,CE-510-510,Cessna
JET THERE LLC,1KJA,135,CE01 - Des Moines (DSM),N91FP,510-0001,CE-510-510,Cessna
JET-A LLC,XQJA,135,EA05 - Allentown (ABE),N888DH,5305,CL600 2B16-604,Bombardier
JET-A LLC,XQJA,135,EA05 - Allentown (ABE),N877H,5445,CL-600-2B16 (CL-604),Bombardier
JET-A LLC,XQJA,135,EA05 - Allentown (ABE),N44UN,258359,HAWKER-800XP-800XP,Hawker
JETEX LLC,6JXA,135,SO13 - West Columbia (CAE),N603GR,60-241,LR-60-60,Bombardier (Learjet)
JETEX LLC,6JXA,135,SO13 - West Columbia (CAE),N776CJ,20107,BD-100-1A10,Bombardier
"JetRight Aerospace Holdings, LLC",N9VA,135,CE19 - Nashville (BNA),N545XR,45-244,LR-45-45,Bombardier (Learjet)
"JetRight Aerospace Holdings, LLC",N9VA,135,CE19 - Nashville (BNA),N758A,45-553,LR-45-75,Bombardier (Learjet)
"JetRight Aerospace Holdings, LLC",N9VA,135,CE19 - Nashville (BNA),N759A,45-606,LR-45-75,Bombardier (Learjet)
"JetRight Aerospace Holdings, LLC",N9VA,135,CE19 - Nashville (BNA),N420MP,20420,BD-100-1A10,Bombardier
"JetRight Aerospace Holdings, LLC",N9VA,135,CE19 - Nashville (BNA),N860CM,20945,BD-100-1A10,Bombardier
"JetRight Aerospace Holdings, LLC",N9VA,135,CE19 - Nashville (BNA),N499GS,45-2014,LR-45-40,Bombardier (Learjet)
"JetRight Aerospace Holdings, LLC",N9VA,135,CE19 - Nashville (BNA),N450FC,45-416,LR-45-45,Bombardier (Learjet)
"JetRight Aerospace Holdings, LLC",N9VA,135,CE19 - Nashville (BNA),N451A,45-413,LR-45-45,Bombardier (Learjet)
"JetRight Aerospace Holdings, LLC",N9VA,135,CE19 - Nashville (BNA),N45JH,45-397,LR-45-45,Bombardier (Learjet)
JetsPlus,CVDA,135,WP17 - Fresno (FAT),N55CJ,298,CE-525-525,Cessna
JetsPlus,CVDA,135,WP17 - Fresno (FAT),N368HS,0889,CE-550-550,Cessna
JetsPlus,CVDA,135,WP17 - Fresno (FAT),N604SG,5336,CL-600-2B16,Bombardier
"Jones Brothers Seaplanes, LLC",6JBA,135,SO15 - Orlando (ORL FSDO),N305KW,U20604213,CE-206-U206G,Cessna
Jorgensen Air Service LLC,6JGA,135,NM01 - Seattle (SEA),N221TJ,17271059,CE-172-N,Cessna
"JOURNEY AVIATION, LLC",UJ8A,135,SO19 - Miami (MIA FSDO),N277XX,177,DASSAULT-FALCON-2000,Dassault
JUNIPOGO LLC,3JPA,135,AL03 - Anchorage  (ANC),N75682,20700638,CE-207-T207A,Cessna
Justice Air Inc.,ZJ6A,135,EA11 - Farmingdale (FRG),N850FB,258677,HAWKER-800XP-800XP,Hawker
Justice Air Inc.,ZJ6A,135,EA11 - Farmingdale (FRG),N609RC,258720,HAWKER-800XP-800XP,Hawker
Justice Air Inc.,ZJ6A,135,EA11 - Farmingdale (FRG),N516JA,089,DASSAULT-FALCON-900B,Dassault
Justice Air Inc.,ZJ6A,135,EA11 - Farmingdale (FRG),N516CJ,016,DASSAULT-FALCON-50,Dassault
Justice Air Inc.,ZJ6A,135,EA11 - Farmingdale (FRG),N497SP,236,DASSAULT-FALCON-50,Dassault
Justice Air Inc.,ZJ6A,135,EA11 - Farmingdale (FRG),N290MX,199,DASSAULT-FALCON-50,Dassault
Justice Air Inc.,ZJ6A,135,EA11 - Farmingdale (FRG),N971JA,104,DASSAULT-FALCON-2000,Dassault
Justice Air Inc.,ZJ6A,135,EA11 - Farmingdale (FRG),N725JA,560-0205,CE-500-560,Cessna
K & A AVIATION,KISA,135,SO19 - Miami (MIA FSDO),N86VS,414-0955,CE-414-414,Cessna
K Bay Air LLC,K99A,135,AL05 - Juneau (JNU),N7269N,U20603595,CE-206-U206G,Cessna
K Bay Air LLC,K99A,135,AL05 - Juneau (JNU),N442GR,U20601811,CE-206-U206F,Cessna
K Bay Air LLC,K99A,135,AL05 - Juneau (JNU),N710MH,U20602383,CE-206-U206F,Cessna
"Kachemak Air Service, LLC",BJHA,135,AL05 - Juneau (JNU),N756XE,U20604432,CE-206-U206G,Cessna
"Kalinin Aviation, LLC",P9KA,135,AL05 - Juneau (JNU),N755KP,208B0759,CE-208-B,Cessna
"Kalinin Aviation, LLC",P9KA,135,AL05 - Juneau (JNU),N754KP,CE-208B1264,CE-208-B,Cessna
"Kalinin Aviation, LLC",P9KA,135,AL05 - Juneau (JNU),N753KP,208B1275,CE-208-B,Cessna
"Kalinin Aviation, LLC",P9KA,135,AL05 - Juneau (JNU),N438JP,208B5038,CE-208-B,Cessna
"Kalinin Aviation, LLC",P9KA,135,AL05 - Juneau (JNU),N336JP,208B5036,CE-208-B,Cessna
"Kalinin Aviation, LLC",P9KA,135,AL05 - Juneau (JNU),N265KP,20800375,CE-208-A,Cessna
"Kalinin Aviation, LLC",P9KA,135,AL05 - Juneau (JNU),N264KP,20800383,CE-208-A,Cessna
"Kalinin Aviation, LLC",P9KA,135,AL05 - Juneau (JNU),N749KP,U20605554,CE-206-U206G,Cessna
"Kalinin Aviation, LLC",P9KA,135,AL05 - Juneau (JNU),N748KP,CE-206-U206F03279,CE-206-U206F,Cessna
Kalitta Charters LLC,KC8A,135,GL23 - Detroit  (DTW),N295CK,35-295,LR-35-A,Bombardier (Learjet)
Kalitta Charters LLC,KC8A,135,GL23 - Detroit  (DTW),N237CK,35-237,LR-35-A,Bombardier (Learjet)
Kalitta Charters LLC,KC8A,135,GL23 - Detroit  (DTW),N217CK,217,LR-35-A,Bombardier (Learjet)
Kalitta Charters LLC,KC8A,135,GL23 - Detroit  (DTW),N163CK,35-163,LR-35-A,Bombardier (Learjet)
Kalitta Charters LLC,KC8A,135,GL23 - Detroit  (DTW),N913CK,35-013,LR-35-35,Bombardier (Learjet)
Kalitta Charters LLC,KC8A,135,GL23 - Detroit  (DTW),N298CK,35-298,LR-35-A,Bombardier (Learjet)
Kalitta Charters LLC,KC8A,135,GL23 - Detroit  (DTW),N76CK,076,LR-35-35,Bombardier (Learjet)
Kalitta Charters LLC,KC8A,135,GL23 - Detroit  (DTW),N325NW,325,LR-35-A,Bombardier (Learjet)
Kalitta Charters LLC,KC8A,135,GL23 - Detroit  (DTW),N352CK,313,LR-35-A,Bombardier (Learjet)
Kalitta Charters LLC,KC8A,135,GL23 - Detroit  (DTW),N355CK,062,LR-35-35,Bombardier (Learjet)
Kalitta Charters LLC,KC8A,135,GL23 - Detroit  (DTW),N245CK,5139,CL-600-2B16,Bombardier
Kalitta Charters LLC,KC8A,135,GL23 - Detroit  (DTW),N242CK,5181,CL-600-2B16,Bombardier
Kalitta Charters LLC,KC8A,135,GL23 - Detroit  (DTW),N881MJ,076,LR-45-45,Bombardier (Learjet)
Kalitta Charters LLC,KC8A,135,GL23 - Detroit  (DTW),N45KX,233,LR-45-45,Bombardier (Learjet)
Kalitta Charters LLC,KC8A,135,GL23 - Detroit  (DTW),N353CK,081,LR-35-A,Bombardier (Learjet)
Kalitta Charters LLC,KC8A,135,GL23 - Detroit  (DTW),N357CK,323,LR-35-A,Bombardier (Learjet)
Kalitta Charters LLC,KC8A,135,GL23 - Detroit  (DTW),N35WL,438,LR-35-A,Bombardier (Learjet)
Kalitta Charters LLC,KC8A,135,GL23 - Detroit  (DTW),N431CK,431,LR-35-A,Bombardier (Learjet)
Kalitta Charters LLC,KC8A,135,GL23 - Detroit  (DTW),N73CK,092,LR-35-A,Bombardier (Learjet)
Kalitta Charters LLC,KC8A,135,GL23 - Detroit  (DTW),N824CK,35-124,LR-35-A,Bombardier (Learjet)
Kalitta Charters LLC,KC8A,135,GL23 - Detroit  (DTW),N870CK,35-170,LR-35-A,Bombardier (Learjet)
Kalitta Charters LLC,KC8A,135,GL23 - Detroit  (DTW),N905CK,36-005,LR-36-36,Bombardier (Learjet)
Kalitta Charters LLC,KC8A,135,GL23 - Detroit  (DTW),N71CK,36-035,LR-36-A,Bombardier (Learjet)
Kalitta Charters LLC,KC8A,135,GL23 - Detroit  (DTW),N273LP,185,LR-45-45,Bombardier (Learjet)
Kalitta Charters LLC,KC8A,135,GL23 - Detroit  (DTW),N451CK,063,LR-45-45,Bombardier (Learjet)
Kalitta Charters LLC,KC8A,135,GL23 - Detroit  (DTW),N453CK,187,LR-45-45,Bombardier (Learjet)
Kalitta Charters LLC,KC8A,135,GL23 - Detroit  (DTW),N452CK,105,LR-45-45,Bombardier (Learjet)
"Kamaka Air, LLC.",K2AA,135,WP13 - Honolulu (HNL FSDO),N408KA,408-0009,CE-408,Cessna
"Kamaka Air, LLC.",K2AA,135,WP13 - Honolulu (HNL FSDO),N145KA,208B2019,CE-208-B,Cessna
"Kamaka Air, LLC.",K2AA,135,WP13 - Honolulu (HNL FSDO),N248KA,208B2408,CE-208-B,Cessna
"Kamaka Air, LLC.",K2AA,135,WP13 - Honolulu (HNL FSDO),N347KA,208B2407,CE-208-B,Cessna
"Kamaka Air, LLC.",K2AA,135,WP13 - Honolulu (HNL FSDO),N689KA,208B2308,CE-208-B,Cessna
"Kamaka Air, LLC.",K2AA,135,WP13 - Honolulu (HNL FSDO),N828DC,208B2074,CE-208-B,Cessna
"Kamaka Air, LLC.",K2AA,135,WP13 - Honolulu (HNL FSDO),N8CA,208B2329,CE-208-B,Cessna
"Kansas City Aviation Center, Inc.",AMYA,135,CE05 - Kansas City (MCI),N516PM,680-0529,CE-680-680,Cessna
"Kansas City Aviation Center, Inc.",AMYA,135,CE05 - Kansas City (MCI),N785CC,560-5275,CE-560-560XL,Cessna
"Kansas City Aviation Center, Inc.",AMYA,135,CE05 - Kansas City (MCI),N85LX,525-1085,CE-525B-525B,Cessna
"Kansas City Aviation Center, Inc.",AMYA,135,CE05 - Kansas City (MCI),N426NS,525B-0457,CE-525B-525B,Cessna
"Kansas Copters & Wings, Inc.",S31A,135,CE07 - Wichita (ICT),N3998L,17254167,CE-172-172,Cessna
KANTISHNA AIR TAXI INC,XAKC,135,AL01 - Fairbanks (FAI),N72309,U2061362,CE-206-U206D,Cessna
KANTISHNA AIR TAXI INC,XAKC,135,AL01 - Fairbanks (FAI),N74PS,U20601894,CE-206-U206F,Cessna
"KATMAI AIR, LLC",ENFA,135,AL03 - Anchorage  (ANC),N9644G,U20601844,CE-206-U206F,Cessna
"KATMAI AIR, LLC",ENFA,135,AL03 - Anchorage  (ANC),N495K,U20602549,CE-206-U206F,Cessna
"Kavik Aviation Services, LLC",5KRC,135,AL03 - Anchorage  (ANC),N8255Q,U20603116,CE-206-U206F,Cessna
"KELLER, MATTHEW CHARLES",B9HA,135,AL03 - Anchorage  (ANC),N9808X,185-0008,CE-185-185,Cessna
"Kenai Aviation Operations, LLC",ELYA,135,AL05 - Juneau (JNU),N7711D,U206-03170,CE-206-U206F,Cessna
"KENMORE AIR EXPRESS, LLC",7KEA,135,NM01 - Seattle (SEA),N619MA,208B2192,CE-208-B,Cessna
"KENMORE AIR EXPRESS, LLC",7KEA,135,NM01 - Seattle (SEA),N426KM,20800306,CE-208-208,Cessna
"KENMORE AIR EXPRESS, LLC",7KEA,135,NM01 - Seattle (SEA),N72KA,208B0326,CE-208-B,Cessna
"KENMORE AIR EXPRESS, LLC",7KEA,135,NM01 - Seattle (SEA),N903DP,208B0703,CE-208-B,Cessna
"Kennedy, Jared Wayne",4JWC,135,AL05 - Juneau (JNU),N59180,50582,CE-180-B,Cessna
Kentucky Airmotive Inc.,KKIA,135,CE17 - Louisville (LOU),N7901Q,401B0001,CE-401-B,Cessna
Kentucky Airmotive Inc.,KKIA,135,CE17 - Louisville (LOU),N82ER,R18200225,CE-182-R182,Cessna
Kentucky Airmotive Inc.,KKIA,135,CE17 - Louisville (LOU),N4861S,R18201439,CE-182-R182,Cessna
"Key West Executive Air Charter, LLC",K6XA,135,SO15 - Orlando (ORL FSDO),N24PT,441-0015,CE-441-441,Cessna
"Key West Executive Air Charter, LLC",K6XA,135,SO15 - Orlando (ORL FSDO),N441F,441-0036,CE-441-441,Cessna
"Key West Executive Air Charter, LLC",K6XA,135,SO15 - Orlando (ORL FSDO),N784RR,441-0078,CE-441-441,Cessna
"Key West Executive Air Charter, LLC",K6XA,135,SO15 - Orlando (ORL FSDO),N825SP,441-0127,CE-441-441,Cessna
"Key West Executive Air Charter, LLC",K6XA,135,SO15 - Orlando (ORL FSDO),N937BB,441-0248,CE-441-441,Cessna
KEY WEST SEA AND AIR LLC,K90A,135,SO19 - Miami (MIA FSDO),N172FP,172-59815,CE-172-L,Cessna
KING AIR INC,KQAC,135,AL03 - Anchorage  (ANC),N7942V,18051842,CE-180-H,Cessna
Kingfisher Air Services Air Safari,AODA,135,SO63 - San Juan (SJU),N967HL,208B0426,CE-208-B,Cessna
Kingfisher Air Services Air Safari,AODA,135,SO63 - San Juan (SJU),N966HL,208B0739,CE-208-B,Cessna
Kingfisher Air Services Air Safari,AODA,135,SO63 - San Juan (SJU),N960HL,208B0251,CE-208-B,Cessna
Kingfisher Air Services Air Safari,AODA,135,SO63 - San Juan (SJU),N965HL,208B0901,CE-208-B,Cessna
Kingfisher Air Services Air Safari,AODA,135,SO63 - San Juan (SJU),N963HL,208B0101,CE-208-B,Cessna
Kingfisher Air Services Air Safari,AODA,135,SO63 - San Juan (SJU),N962HL,208B0779,CE-208-B,Cessna
Kingfisher Air Services Air Safari,AODA,135,SO63 - San Juan (SJU),N961HL,208B0076,CE-208-B,Cessna
KLM Aviation Inc.,LDQA,135,SO19 - Miami (MIA FSDO),N950PC,258300,HAWKER-800XP-800XP,Hawker
"KMR Aviation, Inc.",DCUA,135,WP21 - Riverside (RAL),N226SJ,9095,BD-700-1A10,Bombardier
"KMR Aviation, Inc.",DCUA,135,WP21 - Riverside (RAL),N101ER,560XL-6179,CE-560-560XLS+,Cessna
"KMR Aviation, Inc.",DCUA,135,WP21 - Riverside (RAL),N1VR,5575,CL-600-2B16 (CL-604),Bombardier
"KMR Aviation, Inc.",DCUA,135,WP21 - Riverside (RAL),N243BA,5401,CL-600-2B16 (CL-604),Bombardier
"KMR Aviation, Inc.",DCUA,135,WP21 - Riverside (RAL),N800LB,5361,CL-600-2B16 (CL-604),Bombardier
"KMR Aviation, Inc.",DCUA,135,WP21 - Riverside (RAL),N914LD,025,DASSAULT-FALCON-2000EX,Dassault
"KOURY AVIATION, INC.",3KUA,135,EA39 - Greensboro (GSO),N606RP,20309,BD-100-1A10,Bombardier
"KOURY AVIATION, INC.",3KUA,135,EA39 - Greensboro (GSO),N800EM,258649,HAWKER-800XP-800XP,Hawker
"KOURY AVIATION, INC.",3KUA,135,EA39 - Greensboro (GSO),N772CS,560-0772,CE-560-ENCORE+,Cessna
"KOURY AVIATION, INC.",3KUA,135,EA39 - Greensboro (GSO),N771DE,560-5591,CE-560-560XLS,Cessna
"KOURY AVIATION, INC.",3KUA,135,EA39 - Greensboro (GSO),N431CB,560-5629,CE-560-560XL,Cessna
"KOURY AVIATION, INC.",3KUA,135,EA39 - Greensboro (GSO),N442CJ,525-0491,CE-525-525,Cessna
"L. J. Associates, Inc.",ZESA,135,EA03 - Allegheny (AGC),N228Y,20447,BD-100-1A10,Bombardier
"L. J. Associates, Inc.",ZESA,135,EA03 - Allegheny (AGC),N674PP,680A-0076,CE-680A,Cessna
"L. J. Associates, Inc.",ZESA,135,EA03 - Allegheny (AGC),N61JD,680A-0019,CE-680A,Cessna
"L. J. Associates, Inc.",ZESA,135,EA03 - Allegheny (AGC),N808SD,560-6234,CE-560-560XLS+,Cessna
"L. J. Associates, Inc.",ZESA,135,EA03 - Allegheny (AGC),N50EK,6112,CE-560-560XLS+,Cessna
"L. J. Associates, Inc.",ZESA,135,EA03 - Allegheny (AGC),N47EK,560-6147,CE-560-560XLS+,Cessna
"L. J. Associates, Inc.",ZESA,135,EA03 - Allegheny (AGC),N6NY,0148,CE-525C-525C,Cessna
"L. J. Associates, Inc.",ZESA,135,EA03 - Allegheny (AGC),N40WV,525B0412,CE-525B,Cessna
"L. J. Associates, Inc.",ZESA,135,EA03 - Allegheny (AGC),N369MN,525B0314,CE-525B,Cessna
"L. J. Associates, Inc.",ZESA,135,EA03 - Allegheny (AGC),N468CE,20790,BD-100-1A10,Bombardier
"L. J. Associates, Inc.",ZESA,135,EA03 - Allegheny (AGC),N477RT,21039,BD-100-1A10,Bombardier
"L. J. Associates, Inc.",ZESA,135,EA03 - Allegheny (AGC),N819JR,20976,BD-100-1A10,Bombardier
LAKE AND PENINSULA AIRLINES INC,QPOA,135,AL03 - Anchorage  (ANC),N707H,208B5447,CE-208-B,Cessna
LAKE AND PENINSULA AIRLINES INC,QPOA,135,AL03 - Anchorage  (ANC),N406M,208B5558,CE-208-B,Cessna
LAKE AND PENINSULA AIRLINES INC,QPOA,135,AL03 - Anchorage  (ANC),N405B,208B5837,CE-208-B,Cessna
LAKE AND PENINSULA AIRLINES INC,QPOA,135,AL03 - Anchorage  (ANC),N208W,208B5224,CE-208-B,Cessna
LAKE AND PENINSULA AIRLINES INC,QPOA,135,AL03 - Anchorage  (ANC),N126ES,208B5315,CE-208-B,Cessna
LAKE AND PENINSULA AIRLINES INC,QPOA,135,AL03 - Anchorage  (ANC),N9909Z,U20606740,CE-206-U206G,Cessna
LAKE CLARK AIR INC,HXXC,135,AL03 - Anchorage  (ANC),N997AK,20700019,CE-207-207,Cessna
LAKE CLARK AIR INC,HXXC,135,AL03 - Anchorage  (ANC),N73123,20700561,CE-207-A,Cessna
Lake Placid Airways Inc.,BPYA,135,EA01 - Albany (ALB),N33247,U20602692,CE-206-U206F,Cessna
LANIER FLIGHT EXPRESS LLC,L67A,135,SO11 - Atlanta (ATL),N16BG,525B-0275,CE-525-525B,Cessna
LANIER FLIGHT EXPRESS LLC,L67A,135,SO11 - Atlanta (ATL),N525HD,525A-0301,CE-525-525A,Cessna
LANIER FLIGHT EXPRESS LLC,L67A,135,SO11 - Atlanta (ATL),N72BT,525-0306,CE-525-525,Cessna
LANIER FLIGHT EXPRESS LLC,L67A,135,SO11 - Atlanta (ATL),N560LX,560-5726,CE-560-560XLS,Cessna
"LATITUDE 33 AVIATION, LLC",2PIA,135,WP09 - San Diego (SAN),N747JJ,525A-0314,CE-525A-525A,Cessna
"LATITUDE 33 AVIATION, LLC",2PIA,135,WP09 - San Diego (SAN),N35CT,525A-0120,CE-525A-525A,Cessna
"LATITUDE 33 AVIATION, LLC",2PIA,135,WP09 - San Diego (SAN),N7SG,525B-0240,CE-525-525B,Cessna
"LATITUDE 33 AVIATION, LLC",2PIA,135,WP09 - San Diego (SAN),N7814,525B-0166,CE-525-525B,Cessna
"LATITUDE 33 AVIATION, LLC",2PIA,135,WP09 - San Diego (SAN),N34SJ,525B-0197,CE-525B-525B,Cessna
"LATITUDE 33 AVIATION, LLC",2PIA,135,WP09 - San Diego (SAN),N429RM,20786,BD-100-1A10,Bombardier
"LATITUDE 33 AVIATION, LLC",2PIA,135,WP09 - San Diego (SAN),N369LL,20824,BD-100-1A10,Bombardier
"LATITUDE 33 AVIATION, LLC",2PIA,135,WP09 - San Diego (SAN),N350HH,20760,BD-100-1A10,Bombardier
"LATITUDE 33 AVIATION, LLC",2PIA,135,WP09 - San Diego (SAN),N377PL,525B-0312,CE-525B-525B,Cessna
"LATITUDE 33 AVIATION, LLC",2PIA,135,WP09 - San Diego (SAN),N532LW,525B-0118,CE-525B-525B,Cessna
"LATITUDE 33 AVIATION, LLC",2PIA,135,WP09 - San Diego (SAN),N835CB,525B-0284,CE-525B-525B,Cessna
"LATITUDE 33 AVIATION, LLC",2PIA,135,WP09 - San Diego (SAN),N96PB,525B-0111,CE-525B-525B,Cessna
"LATITUDE 33 AVIATION, LLC",2PIA,135,WP09 - San Diego (SAN),N1401L,560-6113,CE-560-560XLS+,Cessna
"LATITUDE 33 AVIATION, LLC",2PIA,135,WP09 - San Diego (SAN),N427GY,680-0542,CE-680-680,Cessna
Lee Aero LLC,YLIA,135,CE07 - Wichita (ICT),N441LA,CE441-210,CE-441-441,Cessna
"LEE, GERALD R.",BSQA,135,AL03 - Anchorage  (ANC),N9621B,32918,CE-180-A,Cessna
"LEGACY AVIATION, LLC",2LAA,135,GL27 - Rapid City (RAP),N847A,560-5047,CE-560-560XL,Cessna
"LEGACY AVIATION, LLC",2LAA,135,GL27 - Rapid City (RAP),N15MP,560-5062,CE-560-560XL,Cessna
"LEGACY AVIATION, LLC",2LAA,135,GL27 - Rapid City (RAP),N802Q,S550-0157,CE-550-550,Cessna
"LEGACY AVIATION, LLC",2LAA,135,GL27 - Rapid City (RAP),N863SP,172S8122,CE-172-S,Cessna
LEGENDS LLC,W4WC,135,AL03 - Anchorage  (ANC),N1542U,U20602249,CE-206-U206F,Cessna
LETS GO AIR INC,LGAA,135,EA13 - Harrisburg (HAR),N54HT,550-1001,CE-550-B,Cessna
Let's Jett Inc.,RHAA,135,GL21 - Fargo (FAR),N106GK,2134,LR-45-70,Bombardier (Learjet)
Let's Jett Inc.,RHAA,135,GL21 - Fargo (FAR),N41DP,20010,BD-100-1A10,Bombardier
LIBBY PINNACLE AIR,6LPA,135,EA65 - Portland (PWM),N3868Q,18502205,CE-185-A185F,Cessna
Liberty Aviation Charter LLC.,P6VA,135,EA13 - Harrisburg (HAR),N518ME,525A-0091,CE-525-525A,Cessna
Liberty Aviation Charter LLC.,P6VA,135,EA13 - Harrisburg (HAR),N519W,525A-0082,CE-525-525A,Cessna
LIBERTY JET MANAGEMENT CORPORATION,LDJA,135,EA05 - Allentown (ABE),N99MB,5959,CL600 2B16-605,Bombardier
LIBERTY JET MANAGEMENT CORPORATION,LDJA,135,EA05 - Allentown (ABE),N512HA,750-0288,CE-750,Cessna
LIBERTY JET MANAGEMENT CORPORATION,LDJA,135,EA05 - Allentown (ABE),N248HA,750-0285,CE-750,Cessna
"LIFEGUARD AEROMED, INC.",GTSA,135,SW17 - San Antonio (SAT),N1603T,414-0383,CE-414-414,Cessna
"LIFEGUARD AEROMED, INC.",GTSA,135,SW17 - San Antonio (SAT),N5996M,421B-0334,CE-421-B,Cessna
LIMA NY CORP.,L87A,135,EA63 - Bradley (BDL),N622TP,208B5345,CE-208-B,Cessna
LIMA NY CORP.,L87A,135,EA63 - Bradley (BDL),N624AL,208B1183,CE-208-B,Cessna
LIMA NY CORP.,L87A,135,EA63 - Bradley (BDL),N801VW,20800503,CE-208-208,Cessna
LIMA NY CORP.,L87A,135,EA63 - Bradley (BDL),N261PJ,208B5426,CE-208-B,Cessna
LIMA NY CORP.,L87A,135,EA63 - Bradley (BDL),N401S,208B5261,CE-208-B,Cessna
LIMA NY CORP.,L87A,135,EA63 - Bradley (BDL),N41TE,208B5268,CE-208-B,Cessna
"Link Snacks, Inc.",4LSA,135,GL13 - Milwaukee (MKE),N351JL,20775,BD-100-1A10,Bombardier
"Link Snacks, Inc.",4LSA,135,GL13 - Milwaukee (MKE),N371JL,21037,BD-100-1A10,Bombardier
"Link Snacks, Inc.",4LSA,135,GL13 - Milwaukee (MKE),N361JL,20944,BD-100-1A10,Bombardier
"Litzen Guide Service, Inc",MBPC,135,AL05 - Juneau (JNU),N2848A,30048,CE-180-180,Cessna
"Litzen Guide Service, Inc",MBPC,135,AL05 - Juneau (JNU),N9563G,U20601763,CE-206-U206F,Cessna
"Lone Star Aviators, LLC",LS1A,135,SW09 - Houston (HOU),N480RL,560-109,CE-560-560,Cessna
"Lone Star Aviators, LLC",LS1A,135,SW09 - Houston (HOU),N369LS,560-0084,CE-560-560,Cessna
"Lone Star Aviators, LLC",LS1A,135,SW09 - Houston (HOU),N567RW,560-0394,CE-560-560,Cessna
"Lone Star Aviators, LLC",LS1A,135,SW09 - Houston (HOU),N331BR,560-0530,CE-560-560,Cessna
"Lone Star Aviators, LLC",LS1A,135,SW09 - Houston (HOU),N700LP,560-0194,CE-560-560,Cessna
"Lone Star Aviators, LLC",LS1A,135,SW09 - Houston (HOU),N61CS,550-0349,CE-550-550,Cessna
"Lone Star Aviators, LLC",LS1A,135,SW09 - Houston (HOU),N883SC,5124,CE-560-560XL,Cessna
LONGHORN GATOR LLC.,JKIA,135,SO19 - Miami (MIA FSDO),N253RM,2053,LR-45-40,Bombardier (Learjet)
Loyd's Aviation,LOYA,135,WP17 - Fresno (FAT),N30DE,525B-0185,CE-525-525B,Cessna
Loyd's Aviation,LOYA,135,WP17 - Fresno (FAT),N15PG,525B-0140,CE-525-525B,Cessna
"Luftladder, Inc.",L3UA,135,EA03 - Allegheny (AGC),N64254,17265127,CE-172-M,Cessna
"Luftladder, Inc.",L3UA,135,EA03 - Allegheny (AGC),N19730,17260705,CE-172-L,Cessna
Lyddon Aero Center Inc,LQYA,135,CE07 - Wichita (ICT),N989SB,C441-0089,CE-441-441,Cessna
Lyddon Aero Center Inc,LQYA,135,CE07 - Wichita (ICT),N389SB,C441-0011,CE-441-441,Cessna
Lyddon Aero Center Inc,LQYA,135,CE07 - Wichita (ICT),N381SB,C441-0323,CE-441-441,Cessna
Lyddon Aero Center Inc,LQYA,135,CE07 - Wichita (ICT),N253SB,C441-0258,CE-441-441,Cessna
Lyddon Aero Center Inc,LQYA,135,CE07 - Wichita (ICT),N815SB,425-0112,CE-425-425,Cessna
Lyddon Aero Center Inc,LQYA,135,CE07 - Wichita (ICT),N645SB,425-0217,CE-425-425,Cessna
Lynch Flying Service Inc,HSRA,135,NM05 - Helena (HLN),N565EJ,560-0099,CE-560-CITATION V,Cessna
Lynch Flying Service Inc,HSRA,135,NM05 - Helena (HLN),N406EJ,560-0756,CE-560-ENCORE+,Cessna
"Lyon Aviation, Inc.",FVJA,135,EA63 - Bradley (BDL),N600LY,337,DASSAULT-FALCON-50EX,Dassault
"Lyon Aviation, Inc.",FVJA,135,EA63 - Bradley (BDL),N191N,334,DASSAULT-FALCON-50EX,Dassault
"M & N Equipment, LLC",MY5A,135,NM03 - Denver (DEN),N707KG,20283,BD-100-1A10,Bombardier
"M & N Equipment, LLC",MY5A,135,NM03 - Denver (DEN),N91RS,20114,BD-100-1A10,Bombardier
"M & N Equipment, LLC",MY5A,135,NM03 - Denver (DEN),N125XP,258485,HAWKER-800XP-800XP,Hawker
"M & N Equipment, LLC",MY5A,135,NM03 - Denver (DEN),N15HR,20072,BD-100-1A10,Bombardier
"M & N Equipment, LLC",MY5A,135,NM03 - Denver (DEN),N850DP,258468,HAWKER-800XP-800XP,Hawker
"M & N Equipment, LLC",MY5A,135,NM03 - Denver (DEN),N84UP,258484,HAWKER-800XP-800XP,Hawker
"M & N Equipment, LLC",MY5A,135,NM03 - Denver (DEN),N818LX,258534,HAWKER-800XP-800XP,Hawker
